date,direction,gap_pts_at_lon,zone_width_pts,wave_bars,wave_extension_pts,wave_total_pts,pts_per_bar,slope_pts_bar,r2,avg_body_pts,avg_range_pts,body_ratio,pct_directional,rsi_at_peak,bb_pctb_at_peak,bb_width_pts_peak,bb_expanding,bb_width_chg_pct,macd_hist_peak,ema20_dist_pts,atr_mult,rsi_divergence,macd_divergence,reached_far_edge,max_progress_pct,pullback_pts
2024-06-06,LONG,510.0,320.0,50,1080.0,1590.0,22.0,-25.63,0.359,249.8,509.8,0.49,52.0,35.9,0.209,2377.4,True,12.9,-97.78,-692.7,1.92,False,False,True,197.6,160.0
2024-06-11,SHORT,250.0,460.0,32,2730.0,2980.0,88.1,82.28,0.857,316.6,568.4,0.557,56.2,66.4,0.92,2359.4,True,330.5,63.71,989.8,1.69,False,False,False,63.4,2110.0
2024-06-13,SHORT,940.0,90.0,39,4740.0,5680.0,124.7,108.61,0.767,347.4,626.7,0.554,64.1,75.6,0.916,5451.1,True,434.6,249.39,2265.8,3.24,False,False,True,140.8,660.0
2024-06-17,SHORT,290.0,30.0,5,360.0,650.0,90.0,33.0,0.04,280.0,638.0,0.439,40.0,62.0,0.95,1152.0,True,29.7,45.02,518.5,1.03,False,True,True,853.1,2700.0
2024-06-26,SHORT,1710.0,380.0,26,2610.0,4320.0,104.4,96.2,0.786,260.8,463.5,0.563,69.2,76.1,1.03,3113.4,True,51.1,86.47,1651.6,2.89,True,True,False,29.2,170.0
2024-07-02,SHORT,1310.0,170.0,3,640.0,1950.0,320.0,320.0,0.914,293.3,600.0,0.489,100.0,76.9,1.137,1623.7,True,70.6,98.68,1033.7,2.59,False,False,True,198.0,3550.0
2024-07-04,LONG,190.0,130.0,38,2000.0,2190.0,54.1,-38.25,0.716,167.1,323.9,0.516,63.2,31.6,0.176,1693.8,True,115.4,-48.0,-549.4,2.04,False,False,False,34.4,200.0
2024-07-12,SHORT,150.0,170.0,1,0.0,150.0,0.0,0.0,0.0,160.0,380.0,0.421,100.0,61.4,0.893,1059.5,False,0.0,54.31,416.9,1.2,False,False,True,1537.5,4540.0
2024-07-17,LONG,1050.0,130.0,13,4510.0,5560.0,375.8,-420.05,0.903,516.2,766.9,0.673,76.9,16.9,0.211,8349.4,True,761.7,-333.63,-2416.8,3.79,False,False,False,75.4,870.0
2024-07-30,SHORT,630.0,90.0,24,1560.0,2190.0,67.8,33.29,0.126,231.2,418.7,0.552,58.3,79.1,1.07,2818.8,True,120.5,240.14,1606.2,3.46,False,False,True,218.1,2290.0
