gap,approach,reward,near_tp,n_sigs,net_r,wr,pf,net_eurusd,net_usdjpy,net_usdcad,net_xauusd
75,175,100,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
75,175,100,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
75,175,125,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
75,175,125,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
75,175,150,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
75,175,150,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
75,175,175,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
75,175,175,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
75,175,200,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
75,175,200,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
75,200,50,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
75,200,50,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
75,200,75,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
75,200,75,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
75,200,100,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
75,200,100,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
75,200,125,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
75,200,125,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
75,200,150,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
75,200,150,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
75,200,175,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
75,200,175,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
75,200,200,True,91,-16.14,48.0,0.919,-0.33,-14.58,-5.07,3.83
75,200,200,False,87,-36.42,48.1,0.807,-6.41,-14.04,-15.1,-0.86
100,50,50,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
100,50,50,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
100,50,75,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
100,50,75,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
100,50,100,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
100,50,100,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
100,50,125,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
100,50,125,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
100,50,150,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
100,50,150,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
100,50,175,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
100,50,175,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
100,50,200,True,100,-7.1,50.5,0.967,5.02,-13.67,-4.66,6.2
100,50,200,False,95,-21.96,51.2,0.885,2.16,-8.74,-13.87,-1.53
100,75,50,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
100,75,50,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
100,75,75,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
100,75,75,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
100,75,100,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
100,75,100,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
100,75,125,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
100,75,125,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
100,75,150,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
100,75,150,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
100,75,175,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
100,75,175,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
100,75,200,True,99,-7.08,50.2,0.965,1.3,-4.6,-3.98,0.2
100,75,200,False,94,-21.94,51.2,0.882,0.3,-4.25,-13.35,-4.64
100,100,50,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
100,100,50,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
100,100,75,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
100,100,75,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
100,100,100,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
100,100,100,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
100,100,125,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
100,100,125,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
100,100,150,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
100,100,150,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
100,100,175,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
100,100,175,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
100,100,200,True,97,-10.23,49.8,0.949,1.12,-9.38,-2.16,0.2
100,100,200,False,92,-27.23,50.5,0.852,-2.25,-8.02,-12.32,-4.64
100,125,50,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
100,125,50,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
100,125,75,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
100,125,75,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
